id_estudiante;estado_inscripcion;ingreso_aprobadas;ingreso_libres;ingreso_totales;cursadas_aprobadas;cursadas_regulares;cursadas_libres;cursadas_totales;inscripciones_examenes;examenes_aprobados;err_formato_matricula;regla_estado_inscripcion
CA-016563-3;Aceptado;2;0;2;0;0;3;3;0;0;True;
CA-016145-0;Aceptado;1;1;2;1;0;2;3;0;0;True;
CA-016219-7;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CA-016194-8;Aceptado;2;0;2;2;0;1;3;0;0;True;
CE-016194-9;Aceptado;1;0;1;2;0;3;5;0;0;True;
CA-000281-5;Aceptado;1;1;2;1;0;2;3;0;0;True;
CA-016249-9;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CA-016167-1;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CA-016238-3;Pendiente;0;2;2;0;0;0;3;0;0;True;ok
CA-016191-3;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CA-016532-3;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CA-016166-2;Aceptado;0;2;2;0;1;2;3;0;0;True;
CA-015854-8;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CB-015854-9;Pendiente;0;2;2;0;0;0;3;0;0;True;ok
CA-017497-7;Aceptado;1;1;2;0;2;1;3;0;0;True;
CA-016565-0;Pendiente;0;2;2;0;0;0;3;0;0;True;ok
CA-016178-6;Aceptado;2;0;2;0;0;3;3;0;0;True;
CA-016534-0;Aceptado;1;1;2;0;2;1;3;0;0;True;
CA-016228-6;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CA-016165-4;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CA-016524-2;Aceptado;1;1;2;2;0;1;3;0;0;True;
CA-016560-9;Aceptado;1;1;2;0;0;3;3;1;1;True;
CA-016153-1;Aceptado;2;0;2;1;0;2;3;0;0;True;
CA-016221-9;Aceptado;0;2;2;0;2;1;3;0;0;True;
CA-016542-1;Aceptado;2;0;2;2;0;1;3;0;0;True;
CA-016192-1;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CA-016197-2;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CA-016171-9;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CA-006454-3;Aceptado;0;2;2;2;0;1;3;0;0;True;
CC-006454-3;Aceptado;1;1;2;0;1;2;3;0;0;True;
CA-016552-8;Aceptado;2;0;2;1;0;2;3;1;0;True;
CA-016797-1;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CA-016216-2;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CA-016525-1;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CA-016147-6;Aceptado;2;0;2;1;0;2;3;0;0;True;
CA-016573-1;Aceptado;1;1;2;0;1;2;3;0;0;True;
CA-010529-1;Aceptado;2;0;2;0;0;3;3;0;0;True;
CD-010529-4;Aceptado;1;1;2;1;0;4;5;0;0;True;
CA-016556-1;Aceptado;1;1;2;1;2;0;3;0;0;True;
CA-016204-9;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CA-015074-1;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CA-016146-8;Aceptado;2;0;2;0;0;3;3;0;0;True;
CA-016554-4;Aceptado;1;1;2;1;0;2;3;0;0;True;
CA-016212-0;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CA-016792-0;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CA-016234-1;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CA-016229-4;Aceptado;1;1;2;2;0;1;3;0;0;True;
CD-016229-8;Aceptado;1;1;2;0;0;5;5;0;0;True;
CA-016208-1;Aceptado;1;1;2;1;1;1;3;0;0;True;
CA-012191-1;Aceptado;0;2;2;1;0;2;3;0;0;True;
CA-015911-1;Pendiente;0;2;2;0;0;0;3;0;0;True;ok
CB-015911-1;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CA-016177-8;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CA-016570-6;Aceptado;2;0;2;0;2;1;3;0;0;True;
CA-016557-9;Aceptado;1;1;2;1;2;0;3;0;0;True;
CA-016172-7;Pendiente;0;2;2;0;0;0;3;0;0;True;ok
CA-016548-0;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CA-016183-2;Pendiente;0;2;2;0;0;0;3;0;0;True;ok
CA-016544-7;Aceptado;1;1;2;0;0;3;3;0;0;True;
CA-016765-2;Aceptado;0;2;2;1;0;2;3;0;0;True;
CA-008588-5;Aceptado;1;1;2;0;1;2;3;0;0;True;
CA-017499-3;Aceptado;0;2;2;1;1;1;3;0;0;True;
CA-014020-7;Aceptado;0;2;2;0;2;1;3;0;0;True;
CA-016232-4;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CA-017509-4;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CB-017509-5;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CA-016190-5;Aceptado;2;0;2;0;2;1;3;0;0;True;
CA-016169-7;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CA-006018-1;Aceptado;1;1;2;0;0;3;3;0;0;True;
CA-006491-8;Aceptado;1;1;2;1;1;1;3;0;0;True;
CA-016157-3;Aceptado;0;2;2;0;1;2;3;0;0;True;
CA-008313-1;Aceptado;1;1;2;0;1;2;3;0;0;True;
CA-016223-5;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CB-015914-6;Aceptado;0;2;2;0;1;2;3;0;0;True;
CB-015898-1;Pendiente;0;2;2;0;0;0;3;0;0;True;ok
CB-015788-7;Pendiente;0;2;2;0;0;0;3;0;0;True;ok
