id_estudiante;plan;anio_ingreso;fecha_ingreso;fecha_ultimo_examen;anio_ultima_reinscripcion;promedio_sin_aplazos;promedio_con_aplazos;actividades_aprobadas;total_actividades;regular;calidad;segundo_anio;err_formato_matricula;regla_verificacion_calidad
CB-016036-5;2007;2020;01/04/2020;;2021.0;7.0;7.0;2;40;S;A;N;True;ok
CB-016421-2;2007;2020;01/04/2020;;;8.0;8.0;1;40;N;P;N;True;ok
CB-016098-5;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N;True;ok
CB-013150-1;2007;2020;01/04/2020;;2021.0;7.14;7.14;7;40;S;A;S;True;ok
CB-015949-9;2007;2020;01/04/2020;19/12/2020;2021.0;5.14;6.4;5;40;S;A;S;True;ok
CB-013914-5;2007;2020;01/04/2020;05/08/2021;2021.0;6.59;6.81;28;40;S;A;S;True;ok
CB-016039-0;2007;2020;01/04/2020;;;7.0;7.0;1;40;N;P;N;True;ok
CB-016484-1;2007;2020;01/04/2020;;;6.0;6.0;3;40;S;P;N;True;err
CB-015946-4;2007;2020;01/04/2020;;2021.0;6.0;6.0;2;40;S;A;N;True;ok
CB-016392-5;2007;2020;01/04/2020;;;8.0;8.0;1;40;N;P;N;True;ok
CB-016131-1;2007;2020;01/04/2020;;2021.0;8.0;8.0;1;40;N;A;N;True;err
CB-015853-1;2007;2020;01/04/2020;20/08/2021;2021.0;6.08;7.11;9;40;S;A;S;True;ok
CB-016063-2;2007;2020;01/04/2020;;;7.0;7.0;1;40;N;P;N;True;ok
CB-016126-4;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N;True;ok
CB-016818-8;2007;2020;01/04/2020;;2021.0;8.75;8.75;4;40;S;A;N;True;ok
CB-016504-9;2007;2020;01/04/2020;;2021.0;8.5;8.5;2;40;S;A;N;True;ok
CB-009496-6;2007;2020;01/04/2020;;;8.44;8.44;16;40;S;P;S;True;err
CB-016464-6;2007;2020;01/04/2020;;2021.0;6.0;6.0;2;40;S;A;N;True;ok
CB-017508-7;2007;2020;01/04/2020;;2021.0;8.5;8.5;2;40;S;A;N;True;ok
CB-015910-3;2007;2020;01/04/2020;23/08/2021;2021.0;4.14;6.67;3;40;S;A;N;True;ok
CB-016473-5;2007;2020;01/04/2020;;;6.5;6.5;2;40;S;P;N;True;err
CB-002240-0;2007;2020;01/04/2020;;;7.06;7.06;16;40;S;P;S;True;err
CB-016107-8;2007;2020;01/04/2020;;;8.0;8.0;1;40;N;P;N;True;ok
CB-016519-7;2007;2020;01/04/2020;;2021.0;6.0;6.0;1;40;N;A;N;True;err
CB-016429-8;2007;2020;01/04/2020;;;6.5;6.5;2;40;S;P;N;True;err
CB-016757-2;2007;2020;01/04/2020;;2021.0;8.0;8.0;1;40;N;A;N;True;err
CB-015821-2;2007;2020;01/04/2020;20/08/2021;2021.0;7.42;7.73;16;40;S;A;S;True;ok
CB-016515-4;2007;2020;01/04/2020;18/08/2021;2021.0;7.55;7.9;10;40;S;A;S;True;ok
CB-016046-2;2007;2020;01/04/2020;18/08/2021;2021.0;5.8;6.75;4;40;S;A;N;True;ok
CB-016093-4;2007;2020;01/04/2020;16/03/2021;2021.0;7.09;7.6;14;40;S;A;S;True;ok
CB-016482-4;2007;2020;01/04/2020;;;8.0;8.0;1;40;N;P;N;True;ok
CB-016466-2;2007;2020;01/04/2020;;;7.0;7.0;1;40;N;P;N;True;ok
CB-016486-7;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N;True;ok
