propuesta;regular;segundo_anio;rango_promedios;examenes_1er_semestre;avance_ingreso;avance_1er_semestre;avance_carrera;calidad_rndf_desp
130;N;N;Bajo;N;0.5;0.3333333333333333;0.0;P
130;N;N;Medio;N;0.5;0.0;0.0238095238095238;P
130;N;N;Bajo;N;1.0;0.6666666666666666;0.0;P
130;S;S;Alto;N;0.5;0.3333333333333333;0.8333333333333334;A
130;S;N;Medio;N;0.5;0.0;0.0714285714285714;A
130;N;N;Medio;N;0.5;0.0;0.0238095238095238;P
130;N;N;Bajo;N;0.0;0.0;0.0;P
130;S;S;Alto;N;1.0;0.0;0.1666666666666666;A
130;S;N;Alto;N;0.5;0.0;0.0714285714285714;A
130;S;N;Medio;N;0.0;0.3333333333333333;0.0476190476190476;A
130;S;N;Alto;N;1.0;0.0;0.0952380952380952;A
130;S;N;Alto;N;0.0;0.0;0.1;A
130;N;N;Bajo;N;0.0;0.0;0.0;P
130;S;S;Alto;N;1.0;0.0;0.1428571428571428;A
130;S;N;Medio;N;0.5;0.6666666666666666;0.0714285714285714;A
130;N;N;Bajo;N;0.5;0.0;0.0;P
130;N;N;Alto;N;1.0;0.0;0.0238095238095238;P
130;S;N;Alto;N;0.5;0.6666666666666666;0.0952380952380952;A
130;S;N;Medio;A;0.5;0.0;0.0476190476190476;A
130;N;N;Bajo;N;1.0;0.3333333333333333;0.0;P
130;S;N;Alto;N;0.0;0.6666666666666666;0.0476190476190476;A
130;S;S;Alto;N;1.0;0.6666666666666666;0.2142857142857142;A
130;S;N;Medio;N;0.5;0.0;0.0714285714285714;A
130;S;S;Alto;N;0.5;0.0;0.238095238095238;A
130;S;S;Alto;N;0.5;0.0;0.1428571428571428;A
130;S;S;Medio;N;0.0;0.6666666666666666;0.8333333333333334;A
130;S;S;Alto;I;1.0;0.3333333333333333;0.119047619047619;A
130;S;N;Alto;N;0.5;0.0;0.0714285714285714;A
130;S;S;Medio;N;1.0;0.0;0.1666666666666666;A
130;S;N;Medio;N;1.0;0.3333333333333333;0.0952380952380952;A
130;N;N;Medio;N;0.5;0.3333333333333333;0.0238095238095238;P
130;S;S;Alto;N;1.0;0.0;0.1666666666666666;A
130;S;N;Medio;N;0.5;1.0;0.0476190476190476;A
130;S;N;Medio;N;0.5;0.0;0.0476190476190476;A
130;N;N;Bajo;N;0.5;0.0;0.0;P
134;S;N;Alto;N;1.0;0.0;0.0476190476190476;A
134;N;N;Medio;N;0.5;0.3333333333333333;0.0238095238095238;P
134;S;N;Medio;N;0.5;0.0;0.0714285714285714;A
134;S;N;Medio;N;0.5;0.0;0.0714285714285714;A
134;S;N;Alto;N;0.5;0.6666666666666666;0.0476190476190476;A
134;N;N;Bajo;N;0.5;0.6666666666666666;0.0;P
134;S;S;Alto;N;0.0;0.3333333333333333;0.1428571428571428;A
134;S;N;Medio;N;0.0;0.0;0.0476190476190476;A
134;S;N;Alto;N;0.5;0.0;75.0;A
134;S;S;Alto;N;0.5;0.0;0.2619047619047619;A
134;S;N;Medio;N;1.0;0.6666666666666666;0.0476190476190476;A
134;N;N;Alto;N;0.5;1.0;0.0238095238095238;P
134;S;N;Alto;N;0.0;0.0;0.0476190476190476;A
134;S;N;Medio;N;1.0;0.0;0.0476190476190476;A
134;S;N;Medio;N;0.0;0.0;0.0476190476190476;A
134;N;N;Bajo;N;0.5;0.0;0.0;P
134;N;N;Medio;N;0.0;0.3333333333333333;0.0238095238095238;P
134;S;S;Medio;N;0.5;0.3333333333333333;0.5238095238095238;A
134;S;N;Alto;N;0.0;0.6666666666666666;0.0714285714285714;A
134;N;N;Medio;N;0.5;0.0;0.0238095238095238;P
134;S;S;Alto;N;1.0;0.6666666666666666;0.119047619047619;A
134;S;S;Alto;N;0.5;0.0;0.1904761904761904;A
134;S;S;Medio;N;0.5;0.0;0.3809523809523809;A
134;S;S;Alto;N;0.5;0.6666666666666666;0.9047619047619048;A
134;S;S;Alto;N;0.0;0.3333333333333333;0.3095238095238095;A
134;S;S;Alto;N;0.5;0.3333333333333333;0.8809523809523809;A
134;S;S;Medio;N;0.5;0.0;0.119047619047619;A
134;S;N;Alto;N;0.0;0.3333333333333333;0.05;A
134;S;N;Alto;N;0.0;0.0;0.1;A
134;S;N;Alto;N;0.0;0.0;0.05;A
134;S;S;Alto;N;0.5;0.0;0.25;A
134;S;N;Alto;N;0.0;0.0;0.05;A
134;S;N;Alto;N;1.0;0.0;0.05;A
134;S;N;Alto;N;0.0;0.0;0.05;A
134;N;N;Bajo;N;0.5;0.0;0.0;P
134;N;N;Bajo;N;0.5;0.0;0.0;P
134;S;N;Alto;N;0.5;0.0;0.05;A
134;S;N;Alto;N;0.5;0.0;0.1;A
134;S;S;Alto;N;0.5;0.0;125.0;A
134;N;N;Alto;N;0.5;0.0;25.0;A
134;S;N;Alto;N;1.0;0.0;0.05;A
134;S;S;Alto;N;0.5;1.0;0.2;A
134;S;S;Alto;N;1.0;0.0;0.15;A
134;S;N;Alto;I;0.5;0.0;75.0;A
134;N;N;Alto;A;0.5;0.6666666666666666;25.0;A
134;S;N;Alto;N;1.0;0.0;0.05;A
134;N;N;Alto;N;0.5;0.0;25.0;A
134;N;N;Bajo;N;0.0;0.0;0.0;P
134;S;S;Medio;N;0.5;0.0;0.2;A
134;N;N;Bajo;N;1.0;0.0;0.0;P
134;S;N;Alto;N;0.5;0.0;75.0;A
134;N;N;Bajo;N;0.5;0.3333333333333333;0.0;P
134;N;N;Medio;N;0.5;0.0;25.0;A
134;S;S;Medio;N;0.5;0.0;0.2;A
134;N;N;Medio;N;0.5;0.0;25.0;A
134;N;N;Medio;N;0.5;0.3333333333333333;25.0;A
134;S;N;Alto;N;1.0;0.0;0.05;A
134;N;N;Medio;N;0.5;0.0;25.0;A
134;N;N;Alto;N;1.0;0.0;25.0;A
134;S;S;Medio;N;1.0;0.0;225.0;A
134;S;N;Medio;N;1.0;0.0;0.05;A
134;N;N;Medio;N;0.5;0.0;25.0;A
134;N;N;Bajo;N;0.0;0.6666666666666666;0.0;P
134;S;N;Medio;N;1.0;0.0;0.05;A
134;N;N;Medio;N;0.5;0.0;25.0;A
134;N;N;Bajo;N;0.5;0.0;0.0;P
134;S;N;Alto;N;0.0;0.0;0.05;A
134;S;S;Alto;N;0.0;0.0;175.0;A
134;N;N;Alto;N;0.0;0.3333333333333333;25.0;A
134;S;S;Alto;N;0.5;0.0;125.0;A
134;S;N;Alto;N;0.5;0.0;0.05;A
134;S;S;Medio;N;0.5;0.0;0.35;A
134;S;N;Medio;N;0.5;0.6666666666666666;75.0;A
134;N;N;Medio;N;0.0;0.6666666666666666;25.0;A
134;S;N;Alto;N;1.0;0.0;0.1;A
134;S;S;Medio;N;0.5;0.3333333333333333;175.0;A
134;S;N;Alto;N;0.5;0.3333333333333333;75.0;A
134;N;N;Medio;N;0.5;0.0;25.0;A
134;N;N;Medio;I;0.0;0.3333333333333333;25.0;A
134;S;N;Medio;N;0.5;0.0;0.05;A
134;S;N;Alto;N;0.5;0.0;75.0;A
134;N;N;Bajo;N;1.0;0.0;0.0;P
134;S;N;Medio;N;1.0;0.0;75.0;A
134;S;N;Alto;N;1.0;0.0;0.05;A
134;S;N;Alto;N;0.5;1.0;75.0;A
134;S;N;Alto;N;1.0;0.0;0.05;A
134;S;N;Alto;N;0.5;0.0;0.05;A
134;S;N;Medio;N;0.5;0.0;0.05;A
134;N;N;Medio;N;0.5;0.3333333333333333;25.0;A
134;S;N;Alto;N;1.0;0.0;0.05;A
134;S;N;Medio;N;0.5;0.0;0.05;A
134;S;N;Medio;N;0.5;0.0;75.0;A
134;S;N;Medio;N;0.5;0.0;75.0;A
134;S;N;Medio;N;0.0;0.0;0.05;A
134;S;S;Alto;N;1.0;0.0;175.0;A
134;N;N;Medio;N;1.0;0.0;25.0;A
134;S;N;Medio;N;1.0;0.0;0.05;A
134;N;N;Bajo;N;0.0;0.0;0.0;P
134;S;N;Alto;N;0.5;1.0;0.1;A
134;S;S;Medio;N;0.0;0.0;225.0;A
134;N;N;Medio;N;0.5;0.0;25.0;A
134;S;N;Alto;N;1.0;0.0;75.0;A
134;S;N;Alto;N;1.0;0.3333333333333333;0.1;A
134;N;N;Alto;N;0.5;0.3333333333333333;25.0;A
134;S;N;Alto;N;0.5;0.0;75.0;A
134;N;N;Alto;N;0.5;0.0;25.0;A
134;N;N;Bajo;N;1.0;0.6666666666666666;0.0;P
134;N;N;Medio;N;0.5;0.0;25.0;A
134;S;N;Alto;N;0.5;0.3333333333333333;75.0;A
134;S;S;Medio;N;0.0;0.0;125.0;A
134;S;S;Alto;N;1.0;1.0;325.0;A
134;N;N;Bajo;N;0.5;0.0;0.0;P
134;S;N;Medio;N;0.5;0.0;0.05;A
134;S;N;Medio;N;1.0;0.0;0.05;A
134;S;S;Alto;N;0.0;0.6666666666666666;275.0;A
134;S;S;Medio;N;0.5;0.0;0.25;A
134;S;N;Medio;N;0.5;0.0;75.0;A
134;S;N;Medio;N;0.5;0.6666666666666666;0.05;A
134;N;N;Alto;N;1.0;0.0;25.0;A
134;S;S;Medio;N;0.5;0.0;125.0;A
134;S;N;Alto;N;0.0;0.0;75.0;A
